Time, Altitude, Velocity, Temperature (F), Voltage
27.85, 4018, -69, 86.76, 8.80
27.90, 4014, -68, 86.76, 8.80
27.95, 4012, -68, 86.77, 8.80
28.00, 4010, -69, 86.76, 8.80
28.05, 4012, -69, 86.76, 8.80
28.10, 4005, -68, 86.76, 8.80
28.15, 4000, -67, 86.76, 8.80
28.20, 3993, -66, 86.76, 8.80
28.25, 3992, -64, 86.76, 8.80
28.30, 3988, -63, 86.76, 8.80
28.35, 3983, -62, 86.76, 8.80
28.40, 3980, -62, 86.76, 8.80
28.45, 3976, -61, 86.76, 8.80
28.50, 3974, -59, 86.76, 8.80
28.55, 3969, -56, 86.76, 8.80
28.60, 3968, -55, 86.76, 8.80
28.65, 3962, -54, 86.76, 8.80
28.70, 3961, -55, 86.76, 8.80
28.75, 3957, -58, 86.76, 8.80
28.80, 3955, -60, 86.76, 8.80
28.85, 3950, -63, 86.76, 8.80
28.90, 3947, -65, 86.76, 8.80
28.95, 3943, -67, 86.76, 8.80
29.00, 3939, -68, 86.76, 8.80
29.05, 3939, -68, 86.76, 8.80
29.10, 3936, -68, 86.76, 8.80
29.15, 3932, -68, 86.76, 8.80
29.20, 3932, -68, 86.76, 8.80
29.25, 3927, -67, 86.76, 8.80
29.30, 3925, -67, 86.76, 8.80
29.35, 3922, -67, 86.76, 8.80
29.40, 3920, -67, 86.76, 8.80
29.45, 3919, -67, 86.76, 8.80
29.50, 3933, -67, 86.74, 8.80
29.55, 3929, -67, 86.76, 8.80
29.60, 3929, -67, 86.76, 8.80
29.65, 3917, -67, 86.76, 8.80
29.70, 3913, -67, 86.76, 8.80
29.75, 3900, -68, 86.76, 8.80
29.80, 3895, -68, 86.76, 8.80
29.85, 3885, -68, 86.76, 8.80
29.90, 3881, -68, 86.76, 8.80
29.95, 3877, -68, 86.74, 8.80
30.00, 3876, -68, 86.74, 8.80
30.05, 3871, -68, 86.76, 8.80
30.10, 3866, -68, 86.76, 8.80
30.15, 3865, -68, 86.76, 8.80
30.20, 3860, -69, 86.76, 8.80
30.25, 3856, -69, 86.76, 8.80
30.30, 3853, -70, 86.76, 8.80
30.35, 3849, -70, 86.76, 8.80
30.40, 3846, -71, 86.76, 8.80
30.45, 3842, -71, 86.76, 8.80
30.50, 3839, -70, 86.74, 8.80
30.55, 3835, -68, 86.74, 8.80
30.60, 3833, -66, 86.74, 8.80
30.65, 3829, -65, 86.74, 8.80
30.70, 3825, -65, 86.76, 8.80
30.75, 3822, -66, 86.76, 8.80
30.80, 3819, -67, 86.74, 8.80
30.85, 3813, -68, 86.76, 8.80
